Title,Text,TextSource,Mode,Melody,MelodySources_OCO,MelodySource_Verona,gabc,GB_ID,Occasion,Office
Dominus pascit me,Dominus pascit me * Et nihil mihi deerit. ℣ In pascuis virentibus me collocavit.,"Ps 22,1-2",6,f f f g gh h g f gh gf g g f f,PM 315,"Antiphonae & Responsoria/Tomus III, p. 131","(c4)Dó(f)mi(f)nus(f) pa(g)scit(gh) me,(h) <v>\greheightstar</v>(;) Et(g) ni(f)hil(gh) mi(gf)hi(g) dé(g)e(f)rit.(f)  <sp>V/</sp>(::) In(f) pás(f)cu(f)is(f) vi(f)rén(g)ti(f)bus(f) (,) me(f) col(f)lo(f)cá(gh)vit.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f::)",0,2.4H5,V
Domum tuam,Domum tuam Domine * Decet sanctitudo. ℣ In longitudinem dierum.,"Ps 92,5",6,fg f fe dc f fgd ifghih j iih gh ifghihgf ghf f,CAO 6526; ARII 700,Calithes.it,"(c4)Do(fg)mum(f) tu(fe)am,(dc~) Dó(f)mi(fgd)ne,(ixfgw!hih) <v>\greheightstar</v>(;) De(j)cet(ixih) san(gh~)cti(ixfg!hwiHGF)tú(ghf)do.(f)  <sp>V/</sp>(::) In(f) lon(f)gi(f)tú(g)di(f)nem(fe) di(dc)é(fgd)rum.(ixfgw!hih)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(f) (,) et(g) Fí(fe)li(dc)o(c) (;) et(dc~) Spi(f)rí(ixghwi)tu(ih)i(gh) San(gf~)cto.(f) (::)",0,Ded,1V
Domum tuam... all.,Domum tuam Domine decet sanctitudo * Alleluia alleluia. ℣ In longitudinem dierum.,,6,f f g f gh f f g f fe dc fgd ifghih,ARII 701,"Antiphonale Romanum II, p. 701","(c4)Do(f)mum(f) tu(g)am,(f) Dó(gh)mi(f)ne,(f) (,) de(g)cet(f) san(fe)cti(dc)tú(fgd)do(ixfgw!hih)  , *(::) Al(ixi>)le(ivHG)lú(gh)ia(f) (,) al(dc~)le(ixfg!hwiHGF)lú(ghf~)ia.(f)  <sp>V/</sp>(::) In(f) lon(f)gi(f)tú(g)di(f)nem(fe) di(dc)é(fgd)rum.(ixfgw!hih)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(g)tri(f) (,) et(f) Fí(gh)li(f)o(f) (;) et(f) Spi(f)rí(g)tu(fe)i(dc) San(fgd)cto.(ixfgw!hih) (::)",0,Ded TP,1V
Educas panem,Educas panem de terra * Alleluia alleluia. ℣ Et vinum lætificet cor hominis.,"Ps 103,1445",6,f f f g f e g h h hg g f d fg g f,AR 447,Calithes.it,"(c4)E(f)dú(f)cas(f) pa(g)nem(f) de(e) ter(g)ra,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Et(d) vi(f)num(f) læ(f)tí(g)fi(f)cet(f) cor(e) hó(g)mi(g)nis.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(g>)cto.(f) (::)",0,Corp,L
Ego dixi Domine,Ego dixi: Domine * Miserere mei. ℣ Sana animam meam quia peccavi tibi.,"Ps 40,5",4,g g g e fe de e e f dc df fgfe e,"cf. CAO 6626; AM 562","Antiphonae & Responsoria/Tomus II, p. 7","(c4)E(g)go(g) di(g)xi:(e) Dó(fe)mi(de)ne,(e) <v>\greheightstar</v>(;) Mi(e)se(f)ré(dc)re(df) me(fgFE)i.(e)  <sp>V/</sp>(::) Sa(ixehiv)na(h) á(g)ni(g)mam(g) me(gh)am,(g) (,) qui(g)a(g) pec(g)cá(gf)vi(de) ti(efwgFE)bi.(e)  <sp>V/</sp>(::) Gló(ixehiv)ri(h)a(g) Pa(g)tri(g) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(gf)i(de) San(efwgFE~)cto.(e) (::)",0,0-5Q2-6,V
Ego dixi Domine ornatus,Ego dixi: Domine * Miserere mei. ℣ Sana animam meam quia peccavi tibi.,"Ps 40,5",2,c cd de d f fed defgfdcefgffedc d f ed fe d d,"cf. CAO 6626; ARII 130","Antiphonae & Responsoria/Tomus II, p. 5","(f3)E(e)go(ef) di(fg)xi:(f) (,) Dó(h)mi(hvGF)ne,(f!ghoiHFEgv/hihhvGFE) <v>\greheightstar</v>(;) Mi(f)se(h)ré(gf)re(hg) me(f)i.(f)  <sp>V/</sp>(::) Sa(e)na(ef) á(fg)ni(f)mam(f) me(fg)am,(f) (,) qui(f)a(f) pec(f)cá(f)vi(hg) ti(hvGF)bi.(f!ghoiHFEgvhihhvGFE)  <sp>V/</sp>(::) Gló(e)ri(ef)a(f) Pa(fg)tri(f) et(f) Fí(fg)li(f)o(f) (,) et(f) Spi(f)rí(f)tu(f)i(hg) San(hvGF)cto.(f!ghoiHFEgvhihhvGFE) (::)",0,1-5Q1,2V
Elegit eam Deus,Elegit eam Deus * Et præelegit eam. ℣ In tabernaculo suo habitare facit eam.,,6,f f f g f gh h g f gh gf g g f,CAO 8046; AR [63],"Antiphonae & Responsoria/Tomus V, p. 259","(c4)E(f)lé(f)git(f) e(g)am(f) De(gh)us,(h) <v>\greheightstar</v>(;) Et(g) præ(f)e(gh)lé(gf)git(g) e(g)am.(f)  <sp>V/</sp>(::) In(h) ta(h)ber(h)ná(ixhi)cu(h)lo(g) su(gh)o(g) (,) ha(g)bi(g)tá(h)re(g) fa(g)cit(f) e(gh)am.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,BMV,L
,Elegit eam Deus * Et præelegit eam. ℣ In tabernaculo suo habitare facit eam.,,6,f f f g f gh h g f gh gf g g f,CAO 8046; AR [63],,"(c4)E(f)lé(f)git(f) e(g)am(f) De(gh)us,(h) <v>\greheightstar</v>(;) Et(g) præ(f)e(gh)lé(gf)git(g) e(g)am.(f)  <sp>V/</sp>(::) In(h) ta(h)ber(h)ná(ixhi)cu(h)lo(g) su(gh)o(g) (,) ha(g)bi(g)tá(h)re(g) fa(g)cit(f) e(gh)am.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,UnaMart,1V
,Elegit eam Deus * Et præelegit eam. ℣ In tabernaculo suo habitare facit eam.,,6,f f f g f gh h g f gh gf g g f,CAO 8046; AR [63],,"(c4)E(f)lé(f)git(f) e(g)am(f) De(gh)us,(h) <v>\greheightstar</v>(;) Et(g) præ(f)e(gh)lé(gf)git(g) e(g)am.(f)  <sp>V/</sp>(::) In(h) ta(h)ber(h)ná(ixhi)cu(h)lo(g) su(gh)o(g) (,) ha(g)bi(g)tá(h)re(g) fa(g)cit(f) e(gh)am.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Mul,2V
,Elegit eam Deus * Et præelegit eam. ℣ In tabernaculo suo habitare facit eam.,,6,f f f g f gh h g f gh gf g g f,CAO 8046; AR [63],,"(c4)E(f)lé(f)git(f) e(g)am(f) De(gh)us,(h) <v>\greheightstar</v>(;) Et(g) præ(f)e(gh)lé(gf)git(g) e(g)am.(f)  <sp>V/</sp>(::) In(h) ta(h)ber(h)ná(ixhi)cu(h)lo(g) su(gh)o(g) (,) ha(g)bi(g)tá(h)re(g) fa(g)cit(f) e(gh)am.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,21/1,V
