Title,Text,TextSource,Mode,Melody,MelodySources_OCO,MelodySource_Verona,gabc,GB_ID,Occasion,Office
In hoc cognoscent,In hoc cognoscent omnes * Quia mei estis discipuli. ℣ Si dilectionem habueritis ad invicem.,"Io 13,35",6,f f f g f gh hg f f f f gh g gf g f f,,,"(c4)In(f) hoc(f) co(f)gnó(g)scent(f) om(gh)nes,(hg) <v>\greheightstar</v>(;) Qui(f)a(f) me(f)i(f) e(gh)stis(g) di(gf)scí(g)pu(f)li.(f)  <sp>V/</sp>(::) Si(h) di(h)le(h)cti(h)ó(ixhi)nem(g) ha(g)bu(g)é(gh)ri(g)tis(g) (,) ad(f) ín(g)vi(gh)cem.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Ap,1V
In hoc cognoscent... all.,In hoc cognoscent omnes quia mei estis discipuli * Alleluia alleluia. ℣ Si dilectionem habueritis ad invicem.,,6,f f f f f g f f f f f f f e g g h h hg g f d fg g f,,,"(c4)In(f) hoc(f) co(f)gnó(f)scent(f) om(g)nes,(f) (,) qui(f)a(f) me(f)i(f) e(f)stis(f) di(e)scí(g)pu(g)li,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Si(d) di(f)le(f)cti(f)ó(f)nem(f) ha(f)bu(f)é(g)ri(f)tis(f) (,) ad(e) ín(g)vi(g)cem.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Ap TP,1V
In hoc cognovi,In hoc cognovi * Quoniam voluisti me. ℣ Quia non gaudebit inimicus meus super me.,"Ps 40,12",6,f fe dc fgd ifghih j ii ih gh ifghihgf g ghf f,ARII 690,"Antiphonae & Responsoria/Tomus V, p. 285","(c4)In(f) hoc(fe) co(dc)gnó(fgd)vi(ixfgw!hih) <v>\greheightstar</v>(;) Quó(j)ni(ixi)am(ih) vo(gh)lu(ixfg!hwiHGF)í(g)sti(ghf) me.(f)  <sp>V/</sp>(::) Qui(f)a(f) non(g) gau(f)dé(gh)bit(f) (,) in(f)i(f)mí(g)cus(f) me(fe)us(dc) su(f)per(fgd) me.(ixfgw!hih)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(f) (,) et(g) Fí(fe)li(dc)o(c) (;) et(dc~) Spi(f)rí(ixghwi)tu(ih)i(gh) San(gf~)cto.(f) (::)",0,8/12,2V
In manus tuas 1,In manus tuas Domine * Commendo spiritum meum. ℣ Redemisti nos Domine Deus veritatis.,"Ps 30,6",6,f f f fg g gf g gh g f gh g fd fg g f,AR 51,"Antiphonae & Responsoria/Tomus III, p. 133","(c4)In(f) ma(f)nus(f) tu(fg)as,(g) Dó(gf)mi(g)ne,(gh) <v>\greheightstar</v>(;) Com(g)mén(f)do(gh) spí(g)ri(fd)tum(fg) me(g)um.(f)  <sp>V/</sp>(::) Re(h)de(h)mí(ixhi)sti(h) nos,(g) Dó(gh)mi(g)ne(g) (,) De(h)us(g) ve(g)ri(gf)tá(g)tis.(gh)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,H1,C
In manus tuas 2,,,E,e e e f fd e f g g e f dc d f f e,,"Antiphonae & Responsoria/Tomus III, p. 134","(c4)In(e) ma(e)nus(e) tu(f)as,(fd~) Dó(e)mi(f)ne,(g) <v>\greheightstar</v>(;) Com(g)mén(e)do(f) spí(dc~)ri(d)tum(f) me(f)um.(e)  <sp>V/</sp>(::) Re(c)de(de)mí(e)sti(e) nos,(e) Dó(ef)mi(e)ne(e) De(e)us(e) ve(f)ri(fd)tá(ef)tis.(g)  <sp>V/</sp>(::) Gló(e)ri(g)a(g) Pa(gh)tri(h) et(h) Fí(g)li(h)o(e) (,) et(e) Spi(e)rí(f)tu(fe)i(d) San(ef<)cto.(g) (::)",0,Adv,C
In manus tuas 3,,,4*,g g g g ge fe de e e e f d c df fgfe e,,"Antiphonae & Responsoria/Tomus III, p. 135","(c4)In(g) ma(g)nus(g) tu(g)as,(ge) Dó(fe)mi(de)ne,(e) <v>\greheightstar</v>(;) Com(e)mén(e)do(f) spí(d)ri(c)tum(df) me(fgFE)um.(e)  <sp>V/</sp>(::) Re(ixehiv)de(h)mí(g)sti(g) nos,(g) Dó(g)mi(gh)ne(g) De(g)us(g) ve(h)ri(gf)tá(de)tis.(efwgFE)  <sp>V/</sp>(::) Gló(e)ri(ixehiv)a(h) Pa(g)tri(g) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(gf)i(de) San(efwgFE~)cto.(e) (::)",0,Q,C
In manus tuas... all.,In manus tuas Domine commendo spiritum meum * Alleluia alleluia. ℣ Redemisti nos Domine Deus veritatis.,,6,f f f f f g f f f f f f f e g h h hg g f d fg g f,AR 52,"Antiphonae & Responsoria/Tomus III, p. 133","(c4)In(f) ma(f)nus(f) tu(f)as,(f) Dó(g)mi(f)ne,(f) (,) com(f)mén(f)do(f) spí(f)ri(f)tum(e) me(g)um,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Re(d)de(f)mí(f)sti(f) nos,(f) Dó(g)mi(f)ne(f) (,) De(f)us(f) ve(f)ri(e)tá(g)tis.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(f)tri(f) et(f) Fí(g)li(f)o(f) (,) et(f) Spi(f)rí(f)tu(f)i(e) San(g)cto.(h::)",0,P,C
In matutinis Domine,In matutinis Domine * Meditabor in te. ℣ Quia factus es adiutor meus.,"Ps 62,7-8",6,f f f g f g gh hg f gh gf g g f,PM 201,"Antiphonae & Responsoria/Tomus III, p. 130","(c4)In(f) ma(f)tu(f)tí(g)nis,(f) Dó(g)mi(gh)ne,(hg) <v>\greheightstar</v>(;) Me(f)di(gh)tá(gf)bor(g) in(g) te.(f)  <sp>V/</sp>(::) Qui(f)a(f) fa(g)ctus(f) es(f) ad(f)iú(f)tor(f) me(gh)us.(hg)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f::)",0,2.4H5,L
In medio Ecclesiæ,In medio Ecclesiæ * Aperuit os eius. ℣ Et implevit eum Dominus spiritu sapientiæ et intellectus.,"Sir 15,5",6,f g f f f g gh hg fg h g f g g f,,"cf. Antiphonale Prataliense/Tomus II, p. 486","(c4)In(f) mé(g)di(f)o(f) Ec(f)clé(g)si(gh)æ(hg) <v>\greheightstar</v>(;) A(fg)pé(h)ru(g)it(f) os(g) e(g)ius.(f)  <sp>V/</sp>(::) Et(ixhi) im(h)plé(h)vit(h) e(h)um(h) Dó(gh)mi(g)nus(g) (,) spí(g)ri(g)tu(g) sa(g)pi(g)én(h)ti(g)æ(g) et(g) in(g)tel(f)lé(gh)ctus.(hg) (::) <sp>V/</sp>() Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Doct,2V
In medio Ecclesiæ... all.,In medio Ecclesiæ aperuit os eius * Alleluia alleluia. ℣ Et implevit eum Dominus spiritu sapientiæ et intellectus.,,6,f f f f f g f f f f f f e g h h hg g f d fg g f,,Antiphonale Prataliense/Tomus II; p.486,"(c4)In(f) mé(f)di(f)o(f) Ec(f)clé(g)si(f)æ(f) (,) a(f)pe(f)ru(f)it(f) os(e) e(g)ius,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Et(d) im(f)plé(f)vit(f) e(f)um(f) Dó(g)mi(f)nus(f) (,) spí(f)ri(f)tu(f) sa(f)pi(f)én(g)ti(f)æ(f) et(f) in(f)tel(e)lé(g)ctus.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Doct TP,2V
In misericordia,In misericordia tua Domine * Dona eis requiem. ℣ Qui venturus es iudicare vivos et mortuos.,,6,f f f f g f f f f g gh hg f gh gf g g f f,ARII 732,Calithes.it,"(c4)In(f) mi(f)se(f)ri(f)cór(g>)di(f)a(f) tu(f)a,(f) Dó(g)mi(gh)ne,(hg) <v>\greheightstar</v>(;) Do(f)na(gh) e(gf)is(g) ré(g)qui(f)em.(f)  <sp>V/</sp>(::) Qui(h) ven(h)tú(ixhi)rus(g) es(g) (,) iu(g)di(g)cá(h)re(g) vi(g)vos(g) et(f) mór(g)tu(gh)os.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Def Pl,V
In misericordia... all.,In misericordia tua Domine dona eis requiem * Alleluia alleluia. ℣ Qui venturus es iudicare vivos et mortuos.,,6,f f f f f f f f f g f f f f f e g g h h hg g f d fg g f,ARII 733,"Antiphonale Romanum II, p. 733","(c4)In(f) mi(f)se(f)ri(f)cór(f)di(f)a(f) tu(f)a,(f) Dó(g)mi(f)ne,(f) (,) do(f)na(f) e(f)is(e) ré(g)qui(g)em,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Qui(d) ven(f)tú(f)rus(f) es(f) iu(f)di(f)cá(g)re(f) (,) vi(f)vos(f) et(e) mór(g)tu(g)os.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Def Pl TP,V
In nomine tuo,In nomine tuo Domine * Exsultabunt tota die. ℣ Et in iustitia tua exaltabuntur.,"Ps 88,17",6,f f f f g f g gh h g f gh g gf g g f,AV suppl. 132,,"(c4)In(f) nó(f)mi(f)ne(f) tu(g)o,(f) Dó(g)mi(gh)ne,(h) <v>\greheightstar</v>(;) Ex(g)sul(f)tá(gh)bunt(g) to(gf)ta(g) di(g)e.(f)  <sp>V/</sp>(::) Et(h) in(h) iu(h)stí(ixhi)ti(h)a(h) tu(gh)a(g) (,) e(g)xal(g)ta(f)bún(gh)tur.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Virg Pl,L
In nomine tuo,In nomine tuo Domine * Exsultabunt tota die. ℣ Et in iustitia tua exaltabuntur.,"Ps 88,17",6,f f f f g f g gh h g f gh g gf g g f,AV suppl. 132,,"(c4)In(f) nó(f)mi(f)ne(f) tu(g)o,(f) Dó(g)mi(gh)ne,(h) <v>\greheightstar</v>(;) Ex(g)sul(f)tá(gh)bunt(g) to(gf)ta(g) di(g)e.(f)  <sp>V/</sp>(::) Et(h) in(h) iu(h)stí(ixhi)ti(h)a(h) tu(gh)a(g) (,) e(g)xal(g)ta(f)bún(gh)tur.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Mul Pl,L
In nomine tuo... all.,In nomine tuo Domine exsultabunt tota die * Alleluia alleluia. ℣ Et in iustitia tua exaltabuntur.,,6,f f f f f f g f f f f f f f e g h h hg g f d fg g f,,,"(c4)In(f) nó(f)mi(f)ne(f) tu(f)o,(f) Dó(g)mi(f)ne,(f) (,) ex(f)sul(f)ta(f)bunt(f) to(f)ta(e) di(g)e,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Et(d) in(f) iu(f)stí(f)ti(f)a(f) tu(g)a(f) (,) e(f)xal(f)ta(e)bún(g)tur.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Virg Pl TP Mul Pl TP,L
In te Domine,In te Domine speravi: * Non confundar in æternum. ℣ Exsultabo et lætabor in misericordia tua.,"Ps 70,1; Ps 30,8",6,f f g f f f gh hg f g h g f g g f,cf. CAO 6939; ARII 731,Calithes.it,"(c4)In(f) te,(f) Dó(g)mi(f)ne,(f) spe(f)rá(gh)vi:(hg) <v>\greheightstar</v>(;) Non(f) con(g)fún(h>)dar(g) in(f) æ(g)tér(g)num.(f)  <sp>V/</sp>(::) Ex(h)sul(h)tá(ixhi)bo(h) et(h) læ(g)tá(gh)bor(g) (,) in(g) mi(g)se(g)ri(g)cór(h>)di(g)a(f) tu(gh)a.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Def,V
In te Domine... all.,In te Domine speravi: non confundar in æternum * Alleluia alleluia. ℣ Exsultabo et lætabor in misericordia tua.,,6,f f f f f f g f f f f f f e g h h hg g f d fg g f,ARII 732,"Antiphonale Monasticum, p. 732","(c4)In(f) te,(f) Dó(f)mi(f)ne,(f) spe(f)rá(g)vi:(f) (,) non(f) con(f)fun(f)dar(f) in(f) æ(e)tér(g)num,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Ex(d)sul(f)tá(f)bo(f) et(f) læ(f)tá(g)bor(f) (,) in(f) mi(f)se(f)ri(f)cór(f)di(f)a(e) tu(g)a.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Def TP,V
Inclina cor meum,Inclina cor meum Deus * In testimonia tua. ℣ In via tua vivifica me.,"Ps 118,36-37",6,f f f f g f gh h g f gh g f g g f,cf. CAO 6946; PM 170,"Antiphonae & Responsoria/Tomus III, p. 124","(c4)In(f)clí(f)na(f) cor(f) me(g)um,(f) De(gh)us,(h) <v>\greheightstar</v>(:) In(g) te(f)sti(gh)mó(g)ni(f)a(g) tu(g)a.(f)  <sp>V/</sp>(::) In(f) vi(f)a(f) tu(g)a(f) vi(f)ví(f)fi(f)ca(gh) me.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f::)",0,1.3H4,L
Ipse liberabit me,Ipse liberabit me * De laqueo venantium. ℣ Et a verbo aspero.,"Ps 90,3",4,g g g e fe de e e e f dc df fgfe de e,cf. CAO 8107; AM 338,"Antiphonae & Responsoria/Tomus II, p. 6","(c4)I(g)pse(g) li(g)be(e)rá(fe)bit(de) me(e) <v>\greheightstar</v>(;) De(e) lá(e)que(f)o(dc) ve(df)nán(fgFE)ti(de)um.(e)  <sp>V/</sp>(::) Et(ixeh/ih) a(g) ver(gf)bo(de) á(efwgFE)spe(de)ro.(e)  <sp>V/</sp>(::) Gló(ixehiv)ri(h)a(g) Pa(g)tri(g) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(gf)i(de) San(efwgFE~)cto.(e) (::)",0,0-5Q2-7,L
Iusti autem,Iusti autem * In perpetuum vivent. ℣ Et apud Dominum est merces eorum.,"Sap 5,16",6,f f gh hg f gh gf f g g f,CAO 7053; AR [35],"cf. Antiphonale Prataliense/Tomus II, p. 416","(c4)Iu(f)sti(f) au(gh)tem(hg) <v>\greheightstar</v>(;) In(f) per(gh>)pé(gf)tu(f)um(g) vi(g)vent.(f)  <sp>V/</sp>(::) Et(ixhi) a(h)pud(h) Dó(gh)mi(g)num(g) (,) est(g) mer(g)ces(g) e(f)ó(gh)rum.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) (z) San(g)cto.(gh) (::)",0,PlM,L
Iustorum animæ,Iustorum animæ * In manu Dei sunt. ℣ Et non tanget illos tormentum mortis.,"Sap 3,1",6,f g f g gh hg fh gf g g f f,CAO 7055,,"(c4)Iu(f)stó(g)rum(f) á(g)ni(gh)mæ(hg) <v>\greheightstar</v>(;) In(fh) ma(gf)nu(g) De(g)i(f) sunt.(f)  <sp>V/</sp>(::) Et(ixhi) non(h) tan(h)get(h) il(gh)los(g) (,) tor(g)mén(g)tum(f) mor(gh)tis.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,PlM,1V
Iustus Dominus,Iustus Dominus * Et iustitiam dilexit. ℣ Æquitatem vidit vultus eius.,"Ps 10,8",6,f f g gh hg f gh g f f g g f,,,"(c4)Iu(f)stus(f) Dó(g)mi(gh)nus,(hg) <v>\greheightstar</v>(;) Et(f) iu(gh)stí(g)ti(f)am(f) di(g)lé(g)xit.(f)  <sp>V/</sp>(::) Æ(h)qui(h)tá(ixhi)tem(g) vi(g)dit(g) vul(g)tus(f) e(gh)ius.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) (z) San(g)cto.(gh) (::)",0,Vir,2V
Iustus Dominus... all.,Iustus Dominus et iustitiam dilexit * Alleluia alleluia. ℣ Æquitatem vidit vultus eius.,,6,f f g f f f f f f f e g h h hg g f d fg g f,,,"(c4)Iu(f)stus(f) Dó(g)mi(f)nus,(f) (,) et(f) iu(f)stí(f)ti(f)am(f) di(e)lé(g)xit(h)  , *(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Æ(d)qui(f)tá(f)tem(f) vi(f)dit(f) vul(f)tus(e) e(g)ius.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Vir TP,2V
Iustus germinabit,Iustus germinabit * Sicut lilium. ℣ Et florebit in æternum ante Dominum.,"<sp>R/</sp>: Os 14,6",6,f f fe dc fgd ifghih gh ifghihgf g ghf f,ARII 528,"Antiphonae & Responsoria/Tomus V, p. 261","(c4)Iu(f)stus(f) ger(fe)mi(dc)ná(fgd)bit(ixfgw!hih) <v>\greheightstar</v>(;) Si(gh)cut(ixfg!hwiHGF) lí(g)li(ghf)um.(f)  <sp>V/</sp>(::) Et(f) flo(f)ré(g)bit(f) in(f) æ(f)tér(gh)num(f) (,) an(fe)te(dc) Dó(f)mi(fgd)num.(ixfgw!hih)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(gh)tri(f) (,) et(g) Fí(fe)li(dc)o(c) (;) et(dc~) Spi(f)rí(ixghwi)tu(ih)i(gh) San(gf~)cto.(f) (::)",0,19/3,V
Iustus germinabit... all. soll.,Iustus germinabit sicut lilium * Alleluia alleluia. ℣ Et florebit in æternum ante Dominum.,,6,f f g f gh f fe dc f fgd ifghih,AR 584,"Antiphonae & Responsoria/Tomus V, p. 262","(c4)Iu(f)stus(f) ger(g)mi(f)ná(gh)bit(f) si(fe)cut(dc) lí(f)li(fgd)um(ixfgw!hih)  , *(::) Al(ixi>)le(ivHG)lú(gh)ia(f) (,) al(dc~)le(ixfg!hwiHGF)lú(ghf~)ia.(f)  <sp>V/</sp>(::) Et(f) flo(f)ré(g)bit(f) in(f) æ(f)tér(gh)num(f) an(fe)te(dc) Dó(f)mi(fgd)num.(ixfgw!hih)  <sp>V/</sp>(::) Gló(f)ri(f)a(f) Pa(g)tri(f) (,) et(f) Fí(gh)li(f)o(f) (;) et(f) Spi(f)rí(g)tu(fe)i(dc) San(fgd)cto.(ixfgw!hih) (::)",0,19/3 TP,V
Iustus germinabit... all. simpl.,Iustus germinabit sicut lilium * Alleluia alleluia. ℣ Et florebit in æternum ante Dominum.,,6,f f f f g f f e g g h h hg g f d fg g f,AR 584,"Antiphonae & Responsoria/Tomus V, p. 269","(c4)Iu(f)stus(f) ger(f)mi(f)ná(g)bit(f) (,) si(f)cut(e) lí(g)li(g)um(h)  , *(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Et(d) flo(f)ré(f)bit(f) in(f) æ(f)tér(g)num(f) (,) an(f)te(e) Dó(g)mi(g)num.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,1/5,V
Lætamini simpl.,Lætamini in Domino * Et exsultate iusti. ℣ Et gloriamini omnes recti corde.,"Ps 31,11",6,f g f f f g gh h g f gh gf g g f,CAO 7065; AM 649,"Antiphonale Monasticum, p. 649","(c4)Læ(f)tá(g)mi(f)ni(f) in(f) Dó(g)mi(gh)no,(h) <v>\greheightstar</v>(;) Et(g) ex(f)sul(gh)tá(gf)te,(g) iu(g)sti.(f)  <sp>V/</sp>(::) Et(h) glo(h)ri(h)á(ixhi)mi(g)ni,(g) (,) om(h)nes(g) re(g)cti(f) cor(gh)de.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,PlM,2V
Lætamini soll.,Lætamini in Domino * Et exsultate iusti. ℣ Et gloriamini omnes recti corde.,"Ps 31,11",6,f g f f f g gh h g f gh gf g g f,CAO 7065; AM 1104,"Antiphonale Monasticum, p. 1104","(c4)Læ(f)tá(g)mi(f)ni(f) in(f) Dó(g)mi(gh)no,(h) <v>\greheightstar</v>(;) Et(g) ex(f)sul(gh)tá(gf)te,(g) iu(g)sti.(f)  <sp>V/</sp>(::) Et(h) gló(h)ri(h)a(ixhi)mi(g)ni,(g) (,) om(h)nes(g) re(g)cti(f) cor(gh)de.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,1/11,L
Lætitia sempiterna... all.,Lætitia sempiterna super capita eorum * Alleluia alleluia. ℣ Gaudium et lætitiam obtinebunt.,Is 35 10,6,f f f f f f g f f f f f f e g h h hg g f d fg g f,cf AR [27],,"(c4)Læ(f)tí(f)ti(f)a(f) sem(f)pi(f)tér(g)na(f) (,) su(f)per(f) cá(f)pi(f)ta(f) e(e)ó(g)rum,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Gáu(d)di(f)um(f) et(f) læ(f)tí(g)ti(f)am(f) ob(f)ti(e)né(g)bunt.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,PlM TP UnM TP,L
Laudamini,Laudamini * In nomine sancto eius. ℣ Lætetur cor quærentium Dominum.,"Ps 104,3",6,g f gh h g f g h gf g g f,AV suppl. 140,,"(c4)Lau(g)dá(f)mi(gh)ni(h) <v>\greheightstar</v>(;) In(g) nó(f)mi(g)ne(h) san(gf)cto(g) e(g)ius.(f)  <sp>V/</sp>(::) Læ(h)té(ixhi)tur(h) cor(h) (,) quæ(g)rén(g)ti(g)um(f) Dó(g)mi(gh)num.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Mul Pl,2V
Laudamini... all.,Laudamini in nomine sancto eius * Alleluia alleluia. ℣ Lætetur cor quærentium Dominum.,,6,f g f f f f f f f e g h h hg g f d fg g f,AV suppl. 141,,"(c4)Lau(f)dá(g)mi(f)ni(f) (,) in(f) nó(f)mi(f)ne(f) san(f)cto(e) e(g)ius,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Læ(d)té(f)tur(f) cor(g) (,) quæ(f)rén(f)ti(f)um(e) Dó(g)mi(g)num.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Mul Pl TP,2V
Lex Dei eius,Lex Dei eius * In corde ipsius. ℣ Et non supplantabuntur gressus eius.,"Ps 36,31",6,f g f gh hg f gh gf g g f,AR [55],,"(c4)Lex(f) De(g)i(f) e(gh)ius(hg) <v>\greheightstar</v>(;) In(f) cor(gh)de(gf) i(g)psí(g)us.(f)  <sp>V/</sp>(::) Et(ixhi) non(h) sup(h)plan(h)ta(h)bún(gh)tur(g) (,) gres(g)sus(f) e(gh)ius.(hg)  <sp>V/</sp>(::) Gló(h)ri(h)a(h) Pa(ixhi)tri(h) et(g) Fí(gh)li(g)o(g) (,) et(g) Spi(g)rí(h)tu(g)i(gf) San(g)cto.(gh) (::)",0,Vir,L
Lex Dei eius... all.,Lex Dei eius in corde ipsius * Alleluia alleluia. ℣ Et non supplantabuntur gressus eius.,,6,f f f g f f f f e g h h hg g f d fg g f,,,"(c4)Lex(f) De(f)i(f) e(g)ius(f) (,) in(f) cor(f)de(f) i(e)psí(g)us,(h) <v>\greheightstar</v>(;) Al(h)le(hg)lú(g>)ia(f) al(d)le(fg)lú(g>)ia.(f)  <sp>V/</sp>(::) Et(d) non(f) sup(f)plan(f)ta(f)bún(g)tur(f) (,) gres(f)sus(e) e(g)ius.(h)  <sp>V/</sp>(::) Gló(f)ri(f)a(e) Pa(g)tri(h) et(h) Fí(ixhi)li(h)o(h) (,) et(h) Spi(h)rí(h)tu(g)i(h) San(gf~)cto.(f) (::)",0,Vir TP,L
