Title,Text,TextSource,Mode,Melody,MelodySources_OCO,gabc,GB_ID,Occasion,Variant,LHymPage
Cristum regem qui suam,Christum regem qui suam coronavit Matrem venite adoremus.,,7,gji j kjklkl lk k kjkl k i jk kl k jkljji ghijghggf fh jklkjkl jji h hkji ghg g,LHym 419,"(c3)Chri(-ehg)stum(h) re(i_h_iwjij)gem,(j.i.) (,) qui(i) su(ih/ij)am(i) co(g)ro(hi)ná(ij)vit(i) Ma(h!ijhhg)trem,(e_f_!gw_h_e/fveed.) (;) ve(df)ní(h_!i_j_i_/hioj)te,(hhg) ad(f)o(fiHG)ré(e_f_e_)mus.(e.) (::) Ve(i)ní(i!jki)te,(hhg) (::)",0,22/8,,419
Christus apparuit 1,Christus apparuit nobis: venite adoremus.,,4**,defgh g g hghij h gh hhgh ffefg defg g ghhghe dfgh g fghhgh e,CAO 1054; LHym 16,"(c4)Chri([uh{]d_e!fw_0!g_h[uh}])stus(g) ap(g)pá([oh{]h_1g_1hw_1!ij_1[oh}])ru(h)it(gh~) no(hhgh)bis:(ffe/fog.) (;) ve(d!e!fog)ní(g)te,(ghhg/h_e_) ad(df!gwh)o(g)ré(fghvhgh)mus.(e.) (::) Ve(dh)ní(hi)te,(h) (::)",0,Ep,,16
Christus apparuit 2,Christus apparuit nobis: venite adoremus.,,E,c de e e f ed e fg g e f dc df fgfe e,CAO 1054; LHym 19,"(f3)Chri(e)stus(fg) ap(g)pá(g)ru(h)it(gf~) no(g)bis:(h.i.) (;) ve(i)ní(g)te,(h) ad(fe)o(fh)ré(hiHG)mus.(g.) (::) Ve(ggoh)ní(fg)te,(ffe) (::)",0,N post Ep,,19
Christus natus est 1,Christus natus est nobis: venite adoremus.,,4**,defgh g g hghij h gh hhgh ffefg defg g ghhghe dfgh g fghhgh e,CAO 1054; LHym 16,"(c4)Chri([uh{]d_e!fw_0!g_h[uh}])stus(g) na([oh{]h_1g_1hw_1!ij_1[oh}])tus(h) est(gh~) no(hhgh)bis:(ffe/fog.) (;) ve(d!e!fog)ní(g)te,(ghhg/h_e_) ad(df!gwh)o(g)ré(fghvhgh)mus.(e.) (::) Ve(dh)ní(hi)te,(h) (::)",0,N-25/12,,16
Christus natus est 2,Christus natus est nobis: venite adoremus.,,E,c de e f ed e fg g e f dc df fgfe e,CAO 1055; LHym 19,"(f3)Chri(e)stus(fg) na(g)tus(h) est(gf~) no(g)bis:(h.i.) (;) ve(i)ní(g)te,(h) ad(fe)o(fh)ré(hiHG)mus.(g.) (::) Ve(ggoh)ní(fg)te,(ffe) (::)",0,N ante Ep,,19
Cor Iesu,Cor Iesu amore nostri vulneratum venite adoremus.,,4*,cdfef e efgfeefded d dfe fg gh g g f ghgf efedd c cdef ed dfe fg ghgfg fe,LHym 118,"(c4)Cor(cd!fef~) Ie(e)su(e/fgf/eeof/ded.) (,) a(d)mó(-dfe)re(fg) no(g_h)stri(g') vul(g)ne(f)rá(ghGF)tum,(efEDd) (;) ve(c)ní(cdwefv)te,(e_d_) ad(-dfe)o(fg)ré(g_hGFg)mus.(f.e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,Cord,,118
Deum qui glorificatur,Deum qui glorificatur in concilio sanctorum venite adoremus.,,7,ghijihi hg g gh g ghj jijkjkl k k k klm lk lk j jkljji ghijghggf fh jklkjkl jji h hkji ghg g,LHym 461,"(c3)De(e_f!gwhGFg)um,(f_e_) (,) qui(e) glo(ef)ri(e)fi(efoh)cá(hvg!hihijv)tur(i.) (,) in(i) con(i)cí(ijwk)li(ji)o(ji) san(h)ctó(h!ijhhg)rum,(e_f_!gw_h_e/fveed.) (;) ve(df)ní(h_!i_j_i_/hioj)te,(hhg) ad(f)o(fiHG)ré(e_f_e_)mus.(e.) (::) Ve(i)ní(i!jki)te,(hhg) (::)",0,1/11,,462
Deum verum,Deum verum unum in Trinitate et Trinitatem in Unitate venite adoremus.,,4,cdef e dffe dc de e e c de efg ffe e g gh hghgfg ffe e dc de efgfe dde cd e fg gfghgff de e e,CAO 1061; LHym 106,"(c4)De(cdwefv)um(e) ve(dffe)rum,(d_c_) (,) u(de)num(e') in(e>) Tri(c)ni(de)tá(efwg)te(ffe.) (;) et(e) Tri(g)ni(gh)tá(h_g_!hv_GFg)tem(ffe.) (,) in(e) U(dc)ni(de)tá(efwg_FE)te,(ddoe.) (;) ve(c_d)ní(e)te,(fg) ad([uh{]g_f_!gh_GFf[uh}])o(de)ré(e.)mus.(e.) (::) Ve(e)ní(g)te,(h) (::)",16426,Trn,,106
Dominum Deum nostrum,Dominum Deum nostrum venite adoremus.,"Ps 94,6",E,c de e ef e f dedc ef g f gf de e e,LHym 180,"(f3)Dó(e)mi(fg)num(g) De(gh)um(g) no(h)strum,(fgF_E_) (;) ve(gh)ní(i)te,(h) ad(ih)o(fg)ré(g.)mus.(g.) (::) Ve(g/goh)ní(fg)te,(ffe) (::)",0,1-4H6,,180
Dominum loquentem,Dominum loquentem in evangelio venite adoremus.,,4*,cdef e e e ef e e e fg ge f dedc cefg g gh hgf g gfe e,LHym 457,"(c4)Dó(cdwefv)mi(e)num(e) lo(e)quén(ef~)tem(e) in(e) e(e)van(fg~)gé(ge)li(f)o,(deD_C_) (;) ve([uh{]c_e!fw_g[uh}])ní(g)te,(g_h) ad(hvGF)o(g)ré(gv_FE)mus.(e.) (::) Ve(dh)ní(gh)te,(gf/gffe) (::)",0,18/10,,457
